BIKE,CAR,HEAVY,PEDESTRIAN,V85
73.2,622.5,271.4,29.8,36.0
73.2,622.5,271.4,29.8,36.0
73.2,622.5,271.4,29.8,36.0
73.2,622.5,271.4,29.8,36.0
73.2,622.5,271.4,29.8,36.0
73.2,622.5,271.4,29.8,36.0
52.6,560.8,266.3,19.6,38.5
52.6,560.8,266.3,19.6,38.5
52.6,560.8,266.3,19.6,38.5
52.6,560.8,266.3,19.6,38.5
52.6,560.8,266.3,19.6,38.5
52.6,560.8,266.3,19.6,38.5
52.6,560.8,266.3,19.6,38.5
52.6,560.8,266.3,19.6,38.5
52.6,560.8,266.3,19.6,38.5
52.6,560.8,266.3,19.6,38.5
52.6,560.8,266.3,19.6,38.5
52.6,560.8,266.3,19.6,38.5
31.1,600.9,298.4,11.7,37.5
31.1,600.9,298.4,11.7,37.5
31.1,600.9,298.4,11.7,37.5
31.1,600.9,298.4,11.7,37.5
31.1,600.9,298.4,11.7,37.5
31.1,600.9,298.4,11.7,37.5
31.1,600.9,298.4,11.7,37.5
31.1,600.9,298.4,11.7,37.5
31.1,600.9,298.4,11.7,37.5
31.1,600.9,298.4,11.7,37.5
31.1,600.9,298.4,11.7,37.5
31.1,600.9,298.4,11.7,37.5
46.9,650.9,281.2,6.5,38.0
46.9,650.9,281.2,6.5,38.0
46.9,650.9,281.2,6.5,38.0
46.9,650.9,281.2,6.5,38.0
46.9,650.9,281.2,6.5,38.0
46.9,650.9,281.2,6.5,38.0
46.9,650.9,281.2,6.5,38.0
46.9,650.9,281.2,6.5,38.0
46.9,650.9,281.2,6.5,38.0
46.9,650.9,281.2,6.5,38.0
46.9,650.9,281.2,6.5,38.0
46.9,650.9,281.2,6.5,38.0
32.6,613.1,305.2,7.9,36.0
32.6,613.1,305.2,7.9,36.0
32.6,613.1,305.2,7.9,36.0
32.6,613.1,305.2,7.9,36.0
32.6,613.1,305.2,7.9,36.0
32.6,613.1,305.2,7.9,36.0
32.6,613.1,305.2,7.9,36.0
32.6,613.1,305.2,7.9,36.0
32.6,613.1,305.2,7.9,36.0
32.6,613.1,305.2,7.9,36.0
32.6,613.1,305.2,7.9,36.0
32.6,613.1,305.2,7.9,36.0
27.5,780.2,329.3,13.0,37.5
27.5,780.2,329.3,13.0,37.5
27.5,780.2,329.3,13.0,37.5
27.5,780.2,329.3,13.0,37.5
27.5,780.2,329.3,13.0,37.5
27.5,780.2,329.3,13.0,37.5
27.5,780.2,329.3,13.0,37.5
27.5,780.2,329.3,13.0,37.5
27.5,780.2,329.3,13.0,37.5
27.5,780.2,329.3,13.0,37.5
27.5,780.2,329.3,13.0,37.5
27.5,780.2,329.3,13.0,37.5
52.6,810.8,337.5,9.4,34.0
52.6,810.8,337.5,9.4,34.0
52.6,810.8,337.5,9.4,34.0
52.6,810.8,337.5,9.4,34.0
52.6,810.8,337.5,9.4,34.0
52.6,810.8,337.5,9.4,34.0
52.6,810.8,337.5,9.4,34.0
52.6,810.8,337.5,9.4,34.0
52.6,810.8,337.5,9.4,34.0
52.6,810.8,337.5,9.4,34.0
52.6,810.8,337.5,9.4,34.0
52.6,810.8,337.5,9.4,34.0
65.9,896.8,309.2,14.5,25.5
65.9,896.8,309.2,14.5,25.5
65.9,896.8,309.2,14.5,25.5
65.9,896.8,309.2,14.5,25.5
65.9,896.8,309.2,14.5,25.5
65.9,896.8,309.2,14.5,25.5
65.9,896.8,309.2,14.5,25.5
65.9,896.8,309.2,14.5,25.5
65.9,896.8,309.2,14.5,25.5
65.9,896.8,309.2,14.5,25.5
65.9,896.8,309.2,14.5,25.5
0.0,0.0,0.0,0.0,25.5
0.0,0.0,0.0,0.0,25.5
0.0,0.0,0.0,0.0,25.5
0.0,0.0,0.0,0.0,25.5
0.0,0.0,0.0,0.0,25.5
0.0,0.0,0.0,0.0,25.5
0.0,0.0,0.0,0.0,25.5
0.0,0.0,0.0,0.0,25.5
0.0,0.0,0.0,0.0,25.5
0.0,0.0,0.0,0.0,25.5
0.0,0.0,0.0,0.0,25.5
0.0,0.0,0.0,0.0,25.5
0.0,0.0,0.0,0.0,25.5
0.0,0.0,0.0,0.0,25.5
